time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,effort1,effort2,effort3,effort4,effort5
2.5,-7.910834225803791e-05,0.028181600972158265,0.9161240505393711,-0.0427368216810441,0.04224985391423981,0.7269405054841488,0.6840657975686829,0.001130950504801831,0.7590560521748557,-0.014092242031082947,-0.7404746717964983,0.0001697050234561459
2.55,-0.00015044510456418598,0.030923997543859556,0.9159710126034319,-0.04711400017257919,0.046519859392270935,0.7287480341022614,0.6815735297544581,0.00015973708045180501,0.7407162710615367,-0.017601000027234193,-0.7923741021818032,0.015040681911404619
2.602,-0.00026939087167924115,0.035028508406969396,0.9157151313961853,-0.05368482794272284,0.052909586761019804,0.7313955094738448,0.677775127604306,-0.0005875553208412043,0.7253019158106611,-0.018909154021251595,-0.8221250667874713,-0.0013704985914131385
2.65,-0.0003566433336476743,0.03775948777627359,0.9155270518154764,-0.058181955266310904,0.05726335945204035,0.7331090864269926,0.6751939241016875,-0.0004373180360062179,0.6973437313400055,-0.02062723643536657,-0.8520558673072998,-0.01377617775153439
2.7,-0.0004996530651065149,0.041859816850066546,0.9152179233292476,-0.06475472880263855,0.06361471401480072,0.7356292706499166,0.6712745857110809,-0.00018104325238965657,0.6705333296856963,-0.022988690454361915,-0.8857085257378827,-0.0162534696391603
2.75,-0.0006029585703937071,0.04458985460783448,0.914994216953353,-0.06913943042637748,0.06783843414036855,0.7372668290901173,0.6686219475436794,-0.0003674103536965845,0.6565931874042974,-0.025416544042755618,-0.9173753136888507,-0.012857056750625873
2.8,-0.0007699252668039054,0.04868271165177797,0.9146320788742406,-0.07574063171800564,0.07417614846434716,0.7396575489405193,0.6645810454724508,-7.02722164902525e-05,0.6312954877385479,-0.02792404781715163,-0.9502687853952807,-0.013938769976196141
2.85,-0.0008892257188073411,0.05140973647119987,0.9143729104089123,-0.08005400825901654,0.07831007329979237,0.7412183093241224,0.6618567111574353,0.00022180255410120253,0.6107673031561234,-0.030894949752280354,-0.9847587583102779,-0.006477385133862867
2.901,-0.0010801271021224064,0.05549635237875903,0.9139576875315227,-0.08666050921517487,0.08461358279488729,0.7434815427320486,0.6576972657431024,-2.510439234271189e-05,0.6011305874178419,-0.03469248192011776,-1.0250565236038511,0.011857256219993673
2.95,-0.0012153588258856196,0.05821849613650906,0.9136632193090897,-0.09107602447261787,0.08881244711930433,0.7449463935092273,0.6548834841409111,0.00019518368787885265,0.5780983207008816,-0.037236484066838216,-1.055949437753334,0.010591217655786522
3.0,-0.0014301307758465105,0.062298330224252234,0.9131949698033236,-0.09766528619184213,0.09506114591264316,0.7470836227911112,0.6506081239641491,-0.0002996187005166462,0.5547717271578989,-0.039623966165081015,-1.0897438807475623,-0.004029153390572304
3.05,-0.0015812491132191075,0.0650155185743606,0.9128651735138635,-0.10212448634635812,0.09927124712236635,0.7484567117982203,0.6477100889653167,-0.00021316054965581088,0.5378235443469492,-0.04277474007086113,-1.1229706155271302,0.0034929107580516927
3.1,-0.0018100720252370662,0.06899269195575802,0.9123604027398601,-0.10823691192784045,0.10505431549762667,0.7502397995297426,0.6437302267978582,-0.08186514434704861,0.19528575092486733,-0.07514965221488978,-1.899327568293252,-0.00980264182111057
3.15,-0.0018817710261332908,0.07016895057520363,0.9122023767296809,-0.11023117426902866,0.10692621553933884,0.7508660121650635,0.6423520097462453,0.010103043265985434,0.5696199003839553,-0.036482185117314714,-1.00004197646264,-0.02599738203894475
